NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,105.22879028320312,30-1 
31,1 ,750.0,0.0,1581.4063720703125,800.0,-500.0,720.5332641601562,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,98.29351806640625,32-1 
33,1 ,750.0,0.0,632.0,800.0,-500.0,96.70323944091797,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,161.31761169433594,34-1 
35,1 ,850.0,0.0,650.0,800.0,-500.0,205.63710021972656,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,91.2138671875,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,-1.8299734592437744,37-1 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,20.33975601196289,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,10.551186561584473,39-1 
