from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3,PERCENT.1
1,,1.0000,2,,1.0000*,171.8,1000.0,17.2,1.0,17176.2
1,,1.0000,39,,1.0000*,163.7,1000.0,16.4,1.0,16373.9
2,,1.0000*,3,,1.0000,614.4,1000.0,61.4,1.0,61435.6
2,,1.0000,25,,1.0000*,627.5,1000.0,62.7,1.0,62746.5
3,,1.0000*,4,,1.0000,180.8,1000.0,18.1,1.0,18077.7
3,,1.0000,18,,1.0000*,173.4,1000.0,17.3,1.0,17335.4
4,,1.0000*,5,,1.0000,288.1,1000.0,28.8,1.0,28809.5
4,,1.0000,14,,1.0000*,127.0,1000.0,12.7,1.0,12699.7
5,,1.0000,6,,1.0000*,526.3,1000.0,52.6,1.0,52633.8
5,,1.0000,8,,1.0000*,312.4,1000.0,31.2,1.0,31244.2
6,,1.0000*,7,,1.0000,432.7,1000.0,43.3,1.0,43273.1
6,,1.0000,11,,1.0000*,289.7,1000.0,29.0,1.0,28971.4
7,,1.0000,8,,1.0000*,185.1,1000.0,18.5,1.0,18510.0
8,,1.0000*,9,,1.0000,55.3,1000.0,5.5,1.0,5531.9
9,,1.0000,39,,1.0000*,148.7,1000.0,14.9,1.0,14871.2
10,,1.0000*,11,,1.0000,276.5,1000.0,27.7,1.0,27650.6
10,,1.0000*,13,,1.0000,402.0,1000.0,40.2,1.0,40203.3
13,,1.0000*,14,,1.0000,398.5,1000.0,39.8,1.0,39845.9
14,,1.0000,15,,1.0000*,285.3,1000.0,28.5,1.0,28531.9
15,,1.0000*,16,,1.0000,75.9,1000.0,7.6,1.0,7588.0
16,,1.0000*,17,,1.0000,613.5,1000.0,61.4,1.0,61351.6
16,,1.0000,19,,1.0000*,469.0,500.0,93.8,1.0,46900.6
16,,1.0000*,21,,1.0000,320.7,500.0,64.1,1.0,32070.2
16,,1.0000*,24,,1.0000,347.5,500.0,69.5,1.0,34747.3
17,,1.0000*,18,,1.0000,86.9,500.0,17.4,1.0,8691.8
17,,1.0000*,27,,1.0000,662.4,500.0,132.5,1.0,66242.4
21,,1.0000*,22,,1.0000,175.2,500.0,35.0,1.0,17523.7
22,,1.0000,23,,1.0000*,319.1,500.0,63.8,1.0,31908.3
23,,1.0000,24,,1.0000*,63.9,500.0,12.8,1.0,6389.9
25,,1.0000,26,,1.0000*,386.4,500.0,77.3,1.0,38640.4
26,,1.0000,27,,1.0000*,885.9,500.0,177.2,1.0,88585.0
26,,1.0000*,28,,1.0000,628.9,500.0,125.8,1.0,62894.1
26,,1.0000,29,,1.0000*,679.3,500.0,135.9,1.0,67934.7
28,,1.0000,29,,1.0000*,842.5,500.0,168.5,1.0,84252.4
