from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3 PERCENT
1,,1.0000*,2,,1.0000,71.1,1000.0,7.1,1.0  7112.6
1,,1.0000,39,,1.0000*,137.9,1000.0,13.8,1.0 13787.3
2,,1.0000,3,,1.0000*,146.9,1000.0,14.7,1.0 14687.5
2,,1.0000*,25,,1.0000,221.5,1000.0,22.2,1.0 22150.2
3,,1.0000,4,,1.0000*,428.4,1000.0,42.8,1.0 42835.7
3,,1.0000,18,,1.0000*,193.5,1000.0,19.4,1.0 19351.6
4,,1.0000,5,,1.0000*,704.9,1000.0,70.5,1.0 70486.6
4,,1.0000,14,,1.0000*,229.6,1000.0,23.0,1.0 22956.1
5,,1.0000,6,,1.0000*,1056.1,1000.0,105.6,1.0105612.4
5,,1.0000*,8,,1.0000,366.8,1000.0,36.7,1.0 36679.0
6,,1.0000*,7,,1.0000,573.1,1000.0,57.3,1.0 57306.5
6,,1.0000,11,,1.0000*,71.6,1000.0,7.2,1.0  7161.8
7,,1.0000*,8,,1.0000,326.3,1000.0,32.6,1.0 32629.6
8,,1.0000*,9,,1.0000,167.2,1000.0,16.7,1.0 16723.6
9,,1.0000,39,,1.0000*,182.2,1000.0,18.2,1.0 18220.1
10,,1.0000*,11,,1.0000,52.4,1000.0,5.2,1.0  5238.2
10,,1.0000*,13,,1.0000,607.7,1000.0,60.8,1.0 60768.7
13,,1.0000*,14,,1.0000,627.5,1000.0,62.7,1.0 62745.7
14,,1.0000*,15,,1.0000,396.2,1000.0,39.6,1.0 39620.7
15,,1.0000*,16,,1.0000,154.2,1000.0,15.4,1.0 15420.3
16,,1.0000*,17,,1.0000,567.3,1000.0,56.7,1.0 56734.6
16,,1.0000,19,,1.0000*,460.0,500.0,92.0,1.0 46002.8
16,,1.0000,21,,1.0000*,330.9,500.0,66.2,1.0 33093.0
16,,1.0000*,24,,1.0000,111.4,500.0,22.3,1.0 11135.2
17,,1.0000*,18,,1.0000,54.1,500.0,10.8,1.0  5408.8
17,,1.0000*,27,,1.0000,591.4,500.0,118.3,1.0 59137.4
21,,1.0000,22,,1.0000*,618.4,700.0,88.3,1.0 61844.9
22,,1.0000,23,,1.0000*,75.5,500.0,15.1,1.0  7548.1
23,,1.0000*,24,,1.0000,353.9,500.0,70.8,1.0 35388.8
25,,1.0000*,26,,1.0000,530.4,500.0,106.1,1.0 53043.8
26,,1.0000,27,,1.0000*,308.7,500.0,61.7,1.0 30873.0
26,,1.0000*,28,,1.0000,487.5,500.0,97.5,1.0 48745.8
26,,1.0000*,29,,1.0000,208.3,500.0,41.7,1.0 20825.6
28,,1.0000,29,,1.0000*,743.8,500.0,148.8,1.0 74379.9
