from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3 PERCENT
1,,1.0000,2,,1.0000*,58.9,1000.0,5.9,1.0  5889.2
1,,1.0000,39,,1.0000*,96.4,1000.0,9.6,1.0  9642.9
2,,1.0000,3,,1.0000*,290.8,1000.0,29.1,1.0 29081.2
2,,1.0000,25,,1.0000*,513.3,1000.0,51.3,1.0 51331.7
3,,1.0000*,4,,1.0000,154.6,1000.0,15.5,1.0 15457.6
3,,1.0000,18,,1.0000*,467.2,1000.0,46.7,1.0 46722.2
4,,1.0000*,5,,1.0000,260.1,1000.0,26.0,1.0 26012.8
4,,1.0000,14,,1.0000*,453.8,1000.0,45.4,1.0 45381.2
5,,1.0000,6,,1.0000*,576.1,1000.0,57.6,1.0 57609.4
5,,1.0000*,8,,1.0000,385.9,1000.0,38.6,1.0 38589.3
6,,1.0000*,7,,1.0000,503.0,1000.0,50.3,1.0 50295.8
6,,1.0000,11,,1.0000*,449.7,1000.0,45.0,1.0 44970.9
7,,1.0000,8,,1.0000*,254.8,1000.0,25.5,1.0 25484.3
8,,1.0000*,9,,1.0000,108.2,1000.0,10.8,1.0 10821.2
9,,1.0000,39,,1.0000*,162.2,1000.0,16.2,1.0 16216.3
10,,1.0000*,11,,1.0000,428.2,1000.0,42.8,1.0 42820.6
10,,1.0000,13,,1.0000*,258.5,1000.0,25.8,1.0 25848.4
13,,1.0000,14,,1.0000*,238.1,1000.0,23.8,1.0 23809.6
14,,1.0000,15,,1.0000*,280.4,1000.0,28.0,1.0 28038.6
15,,1.0000,16,,1.0000*,551.1,1000.0,55.1,1.0 55106.0
16,,1.0000,17,,1.0000*,898.7,1000.0,89.9,1.0 89870.8
16,,1.0000,19,,1.0000*,1432.3,500.0,286.5,1.0143232.6
16,,1.0000*,21,,1.0000,331.9,500.0,66.4,1.0 33194.8
16,,1.0000*,24,,1.0000,140.5,500.0,28.1,1.0 14051.3
17,,1.0000*,18,,1.0000,616.3,500.0,123.3,1.0 61626.0
17,,1.0000*,27,,1.0000,287.0,500.0,57.4,1.0 28696.3
21,,1.0000,22,,1.0000*,630.6,500.0,126.1,1.0 63062.9
22,,1.0000,23,,1.0000*,77.6,500.0,15.5,1.0  7761.3
23,,1.0000*,24,,1.0000,356.1,500.0,71.2,1.0 35613.5
25,,1.0000,26,,1.0000*,197.9,500.0,39.6,1.0 19792.7
26,,1.0000,27,,1.0000*,150.8,500.0,30.2,1.0 15080.4
26,,1.0000,28,,1.0000*,149.2,500.0,29.8,1.0 14915.8
26,,1.0000,29,,1.0000*,200.5,500.0,40.1,1.0 20053.7
28,,1.0000,29,,1.0000*,350.5,500.0,70.1,1.0 35049.5
