NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,81.28121185302734,30-1 
31,1 ,750.0,0.0,768.0414428710938,800.0,-500.0,397.8989562988281,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,6.459845066070557,32-1 
33,1 ,750.0,0.0,632.0,800.0,-500.0,86.21920776367188,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,68.41699981689453,34-1 
34,2 ,400.0,0.0,300.0,300.0,0.0,40.40373992919922,34-2 
35,1 ,750.0,0.0,650.0,800.0,-500.0,167.27720642089844,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,75.5797348022461,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,-32.75550079345703,37-1 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,0.6354855298995972,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,-36.08609390258789,39-1 
