Begin Report RATE_3
PSS(R)E Xplore-36.1.0 LIMIT CHECKING REPORT - BRANCH FLOWS          TUE, APR 29 2025  21:35
NEW ENGLAND TEST SYSTEM, 39 BUSES, 9 GENERATORS
CREATED BY PABLO LEDESMA PABLOLE@ING.UC3M.ES

SUBSYSTEM LOADING CHECK (INCLUDED: LINES; BREAKERS AND SWITCHES; TRANSFORMERS) (EXCLUDED: NONE)
MVA LOADINGS ABOVE 100.0 % OF BRANCH RATING:
LOADINGS ABOVE 100.0 % OF SWITCHING DEVICE RATING

X----------- FROM BUS ------------X X------------ TO BUS -------------X               RATING SET 1    RATING SET 3
  BUS#-SCT X-- NAME --X BASKV  AREA   BUS#-SCT X-- NAME --X BASKV  AREA CKT LOADING   RATE1 PERCENT   RATE3 PERCENT
     1     1           1.0000*    1      2     2           1.0000     1  1     49.9  1000.0     5.0     1.0  4993.3
     1     1           1.0000     1     39     39          1.0000*    1  1    128.9  1000.0    12.9     1.0 12894.9
     2     2           1.0000*    1      3     3           1.0000     1  1    374.7  1000.0    37.5     1.0 37473.6
     2     2           1.0000     1     25     25          1.0000*    1  1    157.2  1000.0    15.7     1.0 15720.8
     3     3           1.0000     1      4     4           1.0000*    1  1    284.0  1000.0    28.4     1.0 28400.6
     3     3           1.0000*    1     18     18          1.0000     1  1    323.4  1000.0    32.3     1.0 32341.5
     4     4           1.0000     1      5     5           1.0000*    1  1    683.9  1000.0    68.4     1.0 68390.8
     4     4           1.0000     1     14     14          1.0000*    1  1    105.4  1000.0    10.5     1.0 10537.3
     5     5           1.0000     1      6     6           1.0000*    1  1   1008.0  1000.0   100.8     1.0100798.4
     5     5           1.0000     1      8     8           1.0000*    1  1    340.7  1000.0    34.1     1.0 34074.4
     6     6           1.0000*    1      7     7           1.0000     1  1    541.5  1000.0    54.2     1.0 54151.8
     6     6           1.0000     1     11     11          1.0000*    1  1     85.1  1000.0     8.5     1.0  8511.2
     7     7           1.0000*    1      8     8           1.0000     1  1    294.7  1000.0    29.5     1.0 29474.9
     8     8           1.0000*    1      9     9           1.0000     1  1    110.1  1000.0    11.0     1.0 11006.5
     9     9           1.0000     1     39     39          1.0000*    1  1    147.2  1000.0    14.7     1.0 14718.8
    10     10          1.0000*    1     11     11          1.0000     1  1     34.9  1000.0     3.5     1.0  3488.2
    10     10          1.0000*    1     13     13          1.0000     1  1    651.0  1000.0    65.1     1.0 65104.8
    13     13          1.0000*    1     14     14          1.0000     1  1    675.7  1000.0    67.6     1.0 67569.0
    14     14          1.0000*    1     15     15          1.0000     1  1    572.1  1000.0    57.2     1.0 57208.7
    15     15          1.0000*    1     16     16          1.0000     1  1    303.8  1000.0    30.4     1.0 30379.3
    16     16          1.0000     1     17     17          1.0000*    1  1    255.9  1000.0    25.6     1.0 25590.5
    16     16          1.0000     1     19     19          1.0000*    1  1    456.2   500.0    91.2     1.0 45619.8
    16     16          1.0000*    1     21     21          1.0000     1  1    314.5   500.0    62.9     1.0 31445.2
    16     16          1.0000*    1     24     24          1.0000     1  1    334.3   500.0    66.9     1.0 33432.7
    17     17          1.0000     1     18     18          1.0000*    1  1    165.9   500.0    33.2     1.0 16585.4
    17     17          1.0000     1     27     27          1.0000*    1  1     93.9   500.0    18.8     1.0  9389.1
    21     21          1.0000*    1     22     22          1.0000     1  1    130.1   700.0    18.6     1.0 13010.5
    22     22          1.0000     1     23     23          1.0000*    1  1    319.2   500.0    63.8     1.0 31918.9
    23     23          1.0000     1     24     24          1.0000*    1  1     32.4   500.0     6.5     1.0  3244.6
    25     25          1.0000*    1     26     26          1.0000     1  1    185.5   500.0    37.1     1.0 18545.8
    26     26          1.0000*    1     27     27          1.0000     1  1    377.8   500.0    75.6     1.0 37777.3
    26     26          1.0000     1     28     28          1.0000*    1  1    152.8   500.0    30.6     1.0 15275.3
    26     26          1.0000     1     29     29          1.0000*    1  1    204.0   500.0    40.8     1.0 20404.1
    28     28          1.0000     1     29     29          1.0000*    1  1    351.5   500.0    70.3     1.0 35148.4
