from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT
1,,1.0000*,2,,1.0000,65.9,1000.0,6.6
1,,1.0000,39,,1.0000*,133.6,1000.0,13.4
2,,1.0000*,3,,1.0000,448.7,1000.0,44.9
2,,1.0000,25,,1.0000*,275.0,1000.0,27.5
3,,1.0000,4,,1.0000*,239.1,1000.0,23.9
3,,1.0000,18,,1.0000*,143.7,1000.0,14.4
4,,1.0000,5,,1.0000*,458.1,1000.0,45.8
4,,1.0000,14,,1.0000*,294.8,1000.0,29.5
5,,1.0000,6,,1.0000*,776.3,1000.0,77.6
5,,1.0000,8,,1.0000*,345.8,1000.0,34.6
6,,1.0000*,7,,1.0000,503.1,1000.0,50.3
6,,1.0000,11,,1.0000*,236.1,1000.0,23.6
7,,1.0000,8,,1.0000*,255.2,1000.0,25.5
8,,1.0000*,9,,1.0000,62.9,1000.0,6.3
9,,1.0000,39,,1.0000*,153.1,1000.0,15.3
10,,1.0000*,11,,1.0000,228.3,1000.0,22.8
10,,1.0000*,13,,1.0000,438.9,1000.0,43.9
13,,1.0000*,14,,1.0000,444.0,1000.0,44.4
14,,1.0000,15,,1.0000*,161.7,1000.0,16.2
15,,1.0000*,16,,1.0000,193.3,1000.0,19.3
16,,1.0000*,17,,1.0000,327.2,1000.0,32.7
16,,1.0000,19,,1.0000*,454.9,500.0,91.0
16,,1.0000,21,,1.0000*,335.0,500.0,67.0
16,,1.0000*,24,,1.0000,90.9,500.0,18.2
17,,1.0000*,18,,1.0000,297.3,500.0,59.5
17,,1.0000*,27,,1.0000,38.1,500.0,7.6
21,,1.0000,22,,1.0000*,612.4,500.0,122.5
22,,1.0000,23,,1.0000*,74.0,500.0,14.8
23,,1.0000*,24,,1.0000,354.3,500.0,70.9
25,,1.0000,26,,1.0000*,73.3,500.0,14.7
26,,1.0000,27,,1.0000*,264.4,500.0,52.9
26,,1.0000,28,,1.0000*,155.3,500.0,31.1
26,,1.0000,29,,1.0000*,206.4,500.0,41.3
28,,1.0000,29,,1.0000*,352.3,500.0,70.5
