Begin Report RATE_3
PSS(R)E Xplore-36.1.0 LIMIT CHECKING REPORT - BRANCH FLOWS          SAT, APR 26 2025  22:09
NEW ENGLAND TEST SYSTEM, 39 BUSES, 9 GENERATORS
CREATED BY PABLO LEDESMA PABLOLE@ING.UC3M.ES

SUBSYSTEM LOADING CHECK (INCLUDED: LINES; BREAKERS AND SWITCHES; TRANSFORMERS) (EXCLUDED: NONE)
MVA LOADINGS ABOVE 100.0 % OF BRANCH RATING:
LOADINGS ABOVE 100.0 % OF SWITCHING DEVICE RATING

X----------- FROM BUS ------------X X------------ TO BUS -------------X               RATING SET 1    RATING SET 3
  BUS#-SCT X-- NAME --X BASKV  AREA   BUS#-SCT X-- NAME --X BASKV  AREA CKT LOADING   RATE1 PERCENT   RATE3 PERCENT
     1     1           1.0000*    1      2     2           1.0000     1  1     65.9  1000.0     6.6     1.0  6587.3
     1     1           1.0000     1     39     39          1.0000*    1  1    133.6  1000.0    13.4     1.0 13359.8
     2     2           1.0000*    1      3     3           1.0000     1  1    448.7  1000.0    44.9     1.0 44871.5
     2     2           1.0000     1     25     25          1.0000*    1  1    275.0  1000.0    27.5     1.0 27502.5
     3     3           1.0000     1      4     4           1.0000*    1  1    239.1  1000.0    23.9     1.0 23913.3
     3     3           1.0000     1     18     18          1.0000*    1  1    143.7  1000.0    14.4     1.0 14373.8
     4     4           1.0000     1      5     5           1.0000*    1  1    458.1  1000.0    45.8     1.0 45812.1
     4     4           1.0000     1     14     14          1.0000*    1  1    294.8  1000.0    29.5     1.0 29476.9
     5     5           1.0000     1      6     6           1.0000*    1  1    776.3  1000.0    77.6     1.0 77633.4
     5     5           1.0000     1      8     8           1.0000*    1  1    345.8  1000.0    34.6     1.0 34580.7
     6     6           1.0000*    1      7     7           1.0000     1  1    503.1  1000.0    50.3     1.0 50307.7
     6     6           1.0000     1     11     11          1.0000*    1  1    236.1  1000.0    23.6     1.0 23607.6
     7     7           1.0000     1      8     8           1.0000*    1  1    255.2  1000.0    25.5     1.0 25521.9
     8     8           1.0000*    1      9     9           1.0000     1  1     62.9  1000.0     6.3     1.0  6289.7
     9     9           1.0000     1     39     39          1.0000*    1  1    153.1  1000.0    15.3     1.0 15312.1
    10     10          1.0000*    1     11     11          1.0000     1  1    228.3  1000.0    22.8     1.0 22833.7
    10     10          1.0000*    1     13     13          1.0000     1  1    438.9  1000.0    43.9     1.0 43890.0
    13     13          1.0000*    1     14     14          1.0000     1  1    444.0  1000.0    44.4     1.0 44398.9
    14     14          1.0000     1     15     15          1.0000*    1  1    161.7  1000.0    16.2     1.0 16171.5
    15     15          1.0000*    1     16     16          1.0000     1  1    193.3  1000.0    19.3     1.0 19330.1
    16     16          1.0000*    1     17     17          1.0000     1  1    327.2  1000.0    32.7     1.0 32717.9
    16     16          1.0000     1     19     19          1.0000*    1  1    454.9   500.0    91.0     1.0 45486.9
    16     16          1.0000     1     21     21          1.0000*    1  1    335.0   500.0    67.0     1.0 33501.8
    16     16          1.0000*    1     24     24          1.0000     1  1     90.9   500.0    18.2     1.0  9085.7
    17     17          1.0000*    1     18     18          1.0000     1  1    297.3   500.0    59.5     1.0 29732.7
    17     17          1.0000*    1     27     27          1.0000     1  1     38.1   500.0     7.6     1.0  3809.9
    21     21          1.0000     1     22     22          1.0000*    1  1    612.4   500.0   122.5     1.0 61244.9
    22     22          1.0000     1     23     23          1.0000*    1  1     74.0   500.0    14.8     1.0  7397.8
    23     23          1.0000*    1     24     24          1.0000     1  1    354.3   500.0    70.9     1.0 35432.9
    25     25          1.0000     1     26     26          1.0000*    1  1     73.3   500.0    14.7     1.0  7329.5
    26     26          1.0000     1     27     27          1.0000*    1  1    264.4   500.0    52.9     1.0 26443.6
    26     26          1.0000     1     28     28          1.0000*    1  1    155.3   500.0    31.1     1.0 15526.5
    26     26          1.0000     1     29     29          1.0000*    1  1    206.4   500.0    41.3     1.0 20642.0
    28     28          1.0000     1     29     29          1.0000*    1  1    352.3   500.0    70.5     1.0 35225.2
