from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3,PERCENT.1
1,,1.0000*,2,,1.0000,124.4,1000.0,12.4,1.0,12441.7
1,,1.0000,39,,1.0000*,166.6,1000.0,16.7,1.0,16659.7
2,,1.0000*,3,,1.0000,365.0,1000.0,36.5,1.0,36495.1
2,,1.0000,25,,1.0000*,262.6,1000.0,26.3,1.0,26262.5
3,,1.0000,4,,1.0000*,81.3,1000.0,8.1,1.0,8130.4
3,,1.0000,18,,1.0000*,50.8,1000.0,5.1,1.0,5082.9
4,,1.0000*,5,,1.0000,175.6,1000.0,17.6,1.0,17555.3
4,,1.0000,14,,1.0000*,263.9,1000.0,26.4,1.0,26386.5
5,,1.0000,6,,1.0000*,486.4,1000.0,48.6,1.0,48640.7
5,,1.0000,8,,1.0000*,336.7,1000.0,33.7,1.0,33671.1
6,,1.0000*,7,,1.0000,439.4,1000.0,43.9,1.0,43944.6
6,,1.0000,11,,1.0000*,359.5,1000.0,35.9,1.0,35945.2
7,,1.0000,8,,1.0000*,193.0,1000.0,19.3,1.0,19299.1
8,,1.0000*,9,,1.0000,41.2,1000.0,4.1,1.0,4121.5
9,,1.0000,39,,1.0000*,130.8,1000.0,13.1,1.0,13084.9
10,,1.0000*,11,,1.0000,352.4,1000.0,35.2,1.0,35239.7
10,,1.0000,13,,1.0000*,301.6,1000.0,30.2,1.0,30157.7
13,,1.0000*,14,,1.0000,294.4,1000.0,29.4,1.0,29444.2
14,,1.0000,15,,1.0000*,70.6,1000.0,7.1,1.0,7062.9
15,,1.0000*,16,,1.0000,302.6,1000.0,30.3,1.0,30257.3
16,,1.0000*,17,,1.0000,212.1,1000.0,21.2,1.0,21205.8
16,,1.0000,19,,1.0000*,454.9,500.0,91.0,1.0,45486.9
16,,1.0000,21,,1.0000*,335.0,500.0,67.0,1.0,33501.7
16,,1.0000*,24,,1.0000,90.9,500.0,18.2,1.0,9086.0
17,,1.0000*,18,,1.0000,193.3,500.0,38.7,1.0,19331.0
17,,1.0000*,27,,1.0000,27.8,500.0,5.6,1.0,2777.3
21,,1.0000,22,,1.0000*,612.4,700.0,87.5,1.0,61245.0
22,,1.0000,23,,1.0000*,74.0,500.0,14.8,1.0,7397.9
23,,1.0000*,24,,1.0000,354.3,500.0,70.9,1.0,35432.9
25,,1.0000,26,,1.0000*,84.8,500.0,17.0,1.0,8478.7
26,,1.0000,27,,1.0000*,276.7,500.0,55.3,1.0,27674.8
26,,1.0000,28,,1.0000*,155.4,500.0,31.1,1.0,15541.6
26,,1.0000,29,,1.0000*,206.6,500.0,41.3,1.0,20656.1
28,,1.0000,29,,1.0000*,352.3,500.0,70.5,1.0,35229.9
